region_key,weather_date,tmax_c,tmin_c,precip_mm,wind_max_kmh,pressure_hpa,source
BR-CO-MT-01,2025-08-14,34.2,21.5,0.0,18.0,1012.0,seed
BR-CO-MT-01,2025-08-15,35.8,22.1,0.0,22.5,1010.5,seed
BR-CO-MT-01,2025-08-16,36.5,23.0,0.0,25.0,1008.0,seed
BR-CO-MT-02,2025-08-14,33.9,21.0,0.0,16.5,1012.5,seed
BR-CO-MT-02,2025-08-15,35.1,21.8,0.0,20.0,1011.0,seed
BR-CO-GO-01,2025-08-14,32.5,20.2,2.5,14.0,1013.0,seed
BR-CO-GO-01,2025-08-15,33.0,20.5,0.0,15.5,1012.0,seed
BR-CO-GO-01,2025-08-16,34.1,21.0,0.0,17.0,1011.5,seed
BR-CO-MS-01,2025-08-14,31.8,19.5,5.0,12.0,1014.0,seed
BR-CO-MS-01,2025-08-15,32.4,19.8,0.0,13.5,1013.5,seed
BR-CO-MS-02,2025-08-16,33.2,20.0,0.0,16.0,1012.0,seed
BR-CO-DF-01,2025-08-14,28.5,18.0,8.0,10.0,1015.0,seed
BR-CO-DF-01,2025-08-15,29.0,18.5,3.0,11.0,1014.5,seed
BR-CO-MT-03,2025-08-17,37.0,23.5,0.0,28.0,1007.5,seed
BR-CO-MT-03,2025-08-18,38.2,24.0,0.0,30.0,1006.0,seed
